Australian Road Deaths Database: Fatalities,,,,,,,,,,,,,,,,,,,
(Data current to February 2026),,,,,,,,,,,,,,,,,,,
Note: A value of '-9' is used for a missing/unknown value.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Crash ID,State,Month,Year,Dayweek,Time,Crash Type,Bus Involvement,Heavy Rigid Truck Involvement,Articulated Truck Involvement,Speed Limit,Road User,Gender,Age,National Remoteness Areas 2021,SA4 Name 2021,National LGA Name 2021,National Road Type,Christmas Period,Easter Period
4198903140044,SA,3,1989,Tuesday,23:30:00,Multiple,No,-9,Yes,110,Passenger,Male,31,Unknown,Unknown,Unknown,Unknown,No,No
2199304140112,VIC,4,1993,Wednesday,23:45:00,Single,No,No,No,100,Passenger,Male,20,Unknown,Unknown,Unknown,Unknown,No,No
4202014294,WA,6,2020,Wednesday,13:30:00,Multiple,No,No,No,100,Driver,Female,80,Inner Regional Australia,Bunbury,Dardanup,Local Road,No,No
4200812120084,SA,12,2008,Friday,16:29:00,Multiple,No,No,No,80,Driver,Female,45,Unknown,Unknown,Unknown,Unknown,No,No
320170329765,QLD,2,2017,Tuesday,16:00:00,Multiple,Yes,No,No,80,Driver,Male,82,Major Cities of Australia,Brisbane - East,Redland,Local Road,No,No
3201108070131,QLD,8,2011,Sunday,12:00:00,Single,No,No,No,100,Driver,Female,30,Unknown,Unknown,Unknown,Unknown,No,No
8199210110017,ACT,10,1992,Sunday,16:00:00,Multiple,No,-9,No,-9,Driver,Male,66,Unknown,Unknown,Unknown,Unknown,No,No
4201311230081,SA,11,2013,Saturday,14:11:00,Single,No,No,No,100,Motorcycle rider,Male,43,Unknown,Unknown,Unknown,Unknown,No,No
2201210250214,VIC,10,2012,Thursday,05:44:00,Multiple,No,No,No,100,Pedestrian,Male,30,Unknown,Unknown,Unknown,Unknown,No,No
1200310170366,NSW,10,2003,Friday,12:00:00,Multiple,No,No,No,60,Motorcycle rider,Male,56,Unknown,Unknown,Unknown,Unknown,No,No
1199103280130,NSW,3,1991,Thursday,18:50:00,Single,No,-9,Yes,100,Passenger,Male,29,Unknown,Unknown,Unknown,Unknown,No,No
1199403310143,NSW,3,1994,Thursday,11:05:00,Multiple,No,-9,No,60,Motorcycle rider,Male,24,Unknown,Unknown,Unknown,Unknown,No,No
3200711220308,QLD,11,2007,Thursday,19:00:00,Single,No,No,No,70,Pedestrian,Female,34,Unknown,Unknown,Unknown,Unknown,No,No
1199306250222,NSW,6,1993,Friday,23:55:00,Single,No,-9,No,60,Passenger,Female,15,Unknown,Unknown,Unknown,Unknown,No,No
1201304180091,NSW,4,2013,Thursday,18:07:00,Single,No,No,No,60,Passenger,Female,15,Unknown,Unknown,Unknown,Unknown,No,No
2200904180079,VIC,4,2009,Saturday,23:10:00,Single,No,No,No,60,Pedestrian,Male,42,Unknown,Unknown,Unknown,Unknown,No,No
6200204130016,TAS,4,2002,Saturday,22:30:00,Single,No,-9,No,100,Passenger,Male,29,Unknown,Unknown,Unknown,Unknown,No,No
2199310180298,VIC,10,1993,Monday,08:00:00,Multiple,No,No,Yes,75,Driver,Male,18,Unknown,Unknown,Unknown,Unknown,No,No
320210341302,QLD,2,2021,Saturday,22:00:00,Multiple,No,No,No,70,Driver,Male,17,Major Cities of Australia,Logan - Beaudesert,Logan,Local Road,No,No
1201306090135,NSW,6,2013,Sunday,10:30:00,Multiple,No,No,No,60,Pedal cyclist,Female,37,Unknown,Unknown,Unknown,Unknown,No,No
7990415414902904108,VIC,6,2021,Saturday,13:25:00,Single,No,No,No,80,Driver,Female,67,Major Cities of Australia,Mornington Peninsula,Mornington Peninsula,National or State Highway,No,No
2199008020311,VIC,8,1990,Thursday,16:20:00,Multiple,No,No,No,60,Motorcycle rider,Male,18,Unknown,Unknown,Unknown,Unknown,No,No
3201206290123,QLD,6,2012,Friday,08:00:00,Multiple,No,No,No,60,Driver,Male,37,Unknown,Unknown,Unknown,Unknown,No,No
2199402270061,VIC,2,1994,Sunday,13:20:00,Multiple,No,No,Yes,100,Passenger,Female,60,Unknown,Unknown,Unknown,Unknown,No,No
6808097863375387850,NSW,7,2024,Tuesday,16:35:00,Single,No,No,No,100,Motorcycle rider,Male,17,Outer Regional Australia,New England and North West,Glen Innes Severn,Sub-arterial Road,No,No
6200603260010,TAS,3,2006,Sunday,05:15:00,Single,No,No,Yes,110,Driver,Male,31,Unknown,Unknown,Unknown,Unknown,No,No
2200911120221,VIC,11,2009,Thursday,13:15:00,Multiple,No,No,No,100,Driver,Male,70,Unknown,Unknown,Unknown,Unknown,No,No
1200608250300,NSW,8,2006,Friday,17:10:00,Single,No,No,No,100,Driver,Male,49,Unknown,Unknown,Unknown,Unknown,No,No
470004662194564178,SA,9,2023,Thursday,12:30:00,Single,No,No,No,10,Pedestrian,Male,73,Major Cities of Australia,Adelaide - North,Salisbury,Local Road,No,No
5201704080043,WA,4,2017,Saturday,18:20:00,Multiple,No,No,No,110,Unknown,Female,0,Outer Regional Australia,Western Australia - Outback (South),Irwin,National or State Highway,No,No
3199611290303,QLD,11,1996,Friday,05:00:00,Single,No,-9,No,100,Driver,Male,52,Unknown,Unknown,Unknown,Unknown,No,No
1201105270123,NSW,5,2011,Friday,15:00:00,Single,No,No,No,110,Passenger,Male,21,Unknown,Unknown,Unknown,Unknown,No,No
6199204240016,TAS,4,1992,Friday,15:45:00,Single,No,-9,No,100,Driver,Male,29,Unknown,Unknown,Unknown,Unknown,No,No
3199407120175,QLD,7,1994,Tuesday,07:00:00,Multiple,No,-9,No,100,Pedal cyclist,Male,68,Unknown,Unknown,Unknown,Unknown,No,No
120181188603,NSW,12,2018,Saturday,06:15:00,Single,No,No,No,100,Passenger,Female,19,Outer Regional Australia,Riverina,Narrandera,National or State Highway,No,No
2200807280163,VIC,7,2008,Monday,08:40:00,Multiple,No,No,No,100,Driver,Female,32,Unknown,Unknown,Unknown,Unknown,No,No
1200309020308,NSW,9,2003,Tuesday,18:20:00,Single,No,No,No,100,Pedestrian,Female,69,Unknown,Unknown,Unknown,Unknown,No,No
3199501010001,QLD,1,1995,Sunday,01:00:00,Single,No,-9,No,100,Driver,Male,20,Unknown,Unknown,Unknown,Unknown,Yes,No
3200803050046,QLD,3,2008,Wednesday,22:00:00,Single,No,No,No,100,Driver,Male,25,Unknown,Unknown,Unknown,Unknown,No,No
